book_id,title,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language,preview_link,info_link,isbn_13,isbn_10,list_price,currency,buyable,search_category,thumbnail,published_year
-qIPEAAAQBAJ,Hush Little Girl,An absolutely gripping mystery and suspense thriller,Lisa Regan,Bookouture,2021-04-14,"Dressed in pajamas covered with stars, the little girl’s body is perfectly still, her arms folded neatly over her chest. The wildflowers decorating her hair scatter across the grass in the sharp breeze. Her lips are parted slightly, as if to whisper goodnight for the very last time… When twelve-year-old Holly Mitchell’s fragile little body is found on the steps of a mountainside church in the small town of Denton, a doll made from pine cones clasped tightly to her chest, Detective Josie Quinn rushes to attend the scene. She knows this little girl’s angelic face, her mother had offered Josie help when she’d needed it most. Searching the girl’s house, Josie is devastated to find that Holly’s mother is dead too, and her little sister is missing. But why has this family home been stripped of all sharp objects? Re-tracing her steps, Josie finally finds a secret hiding place with Holly’s sister inside, terrified, but alive. Moments later, another doll made of twigs turns up. Certain the killer is close by, Josie holds the little girl tight and tries to coax answers from her, but it’s clear the pile of burnt photographs and letters found in the greenhouse is her only lead. No one is safe until Josie can figure out the dangerous secret that has escaped this remote family home. Just when Josie is finally closing in on the killer, the unthinkable happens, a tragedy that shakes her to her very core. And on the windshield of her car: a third wooden doll. Could stopping this twisted monster from taking more innocent lives come at the ultimate price for Josie? An absolutely gripping rollercoaster ride of a crime thriller from an Amazon, USA Today and Wall Street Journal bestselling author. Perfect for fans of Angela Marsons, Robert Dugoni and Rachel Caine. Readers love Lisa Regan: ‘Absolutely brilliant!!!! One hell of a rollercoaster ride, with so many twists and turns it'll make you dizzy!! It's energetic, exciting, thrilling and nerve-wracking!!… will have you shouting O.M.G. at every page!!’ Stardust Book Reviews, 5 stars ‘Brilliant, nail-biting, rollercoaster of a ride… There were times I gasped ""Oh No!"" and shed a few tears… a super novel.’ NetGalley reviewer, 5 stars ‘Wow! Great story. There was one moment where I completely froze in shock… Can’t wait for the next one!’ Rachel Owl Books, 5 stars ‘An absolutely brilliant book. I was totally gripped from the first page. Full of intrigue and psychological thrills. A really fast-paced book. The ending is a total wow!!’ Goodreads reviewer, 5 stars ‘Wow, what a rollercoaster of a thrill ride! Absolutely loved this book it had me hooked from page one… five stars.’ Goodreads reviewer, 5 stars ‘Holy crap… The twist in this book is one I never saw coming.’ Goodreads reviewer, 5 stars ‘Wow, wow, wow!… blew me away… so much nail-biting action. I really thought I was going to have no nails left by the end of this book… Just loved it so much.’ Blue Moon Blogger, 5 stars",374.0,Fiction,5.0,1,en,http://books.google.com/books?id=-qIPEAAAQBAJ&printsec=frontcover&dq=mystery+thriller&hl=&cd=57&source=gbs_api,https://play.google.com/store/books/details?id=-qIPEAAAQBAJ&source=gbs_api,9781800191372.0,1800191375,4.99,USD,True,mystery thriller,http://books.google.com/books/content?id=-qIPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2021
frXLDwAAQBAJ,Find Her Alive,A gripping crime thriller packed with mystery and suspense,Lisa Regan,Bookouture,2020-04-15,"Josie treads gently, careful not to disturb the pile of perfect white bones laid out in the grass by her feet. Her voice is little more than a whisper. “No! Not my sister…” Detective Josie Quinn hasn’t heard from her sister since Trinity stormed out of the house in the heat of an argument three weeks ago. So, when human remains are found at the remote hunting cabin where Trinity was last seen, Josie can only assume the worst. Gathering her team, Josie feels a surge of relief when the dental records match a different body – that of a missing single mother from a neighboring town. But now Josie’s is not the only broken family desperate for answers. Dusting the crime scene for prints, a name smudged into the side of a nearby car is the first in a trail of clues Trinity left for Josie. In need of a big story to save her journalism career, it seems Josie’s sister was attempting to make contact with a dangerous serial killer known for creating sculptures with his victim’s bones. And Trinity won’t stop until she’s found him, even if it means becoming his next masterpiece… Josie is certain there’s a critical clue in the ivory hair comb delivered to Trinity just days before she went missing. But as more bones surface, each set more likely to be Trinity’s than the last, time is running out to find her alive. Can Josie’s team trust her instincts in a case that is so deeply personal? Can she find her sister without putting other innocent lives in danger? An unputdownable crime thriller from an Amazon, USA Today and Wall Street Journal bestselling author that will have you sleeping with the light on. This gripping rollercoaster ride is perfect for fans of Angela Marsons, Robert Dugoni and Rachel Caine. Prepare to be totally hooked! Readers adore Find Her Alive: ‘AMAZING… Love this author. Love this series. Love this book… I was on the edge of my seat.’ Netgalley reviewer, 5 stars ‘You will find yourself addicted as soon as you read the first chapters, and with a lightning-fast pace and an abundance of action and plot twists you will find it very hard to stop reading… a true rollercoaster ride… really packs a punch. If you enjoy intense and fast detective thrillers, you should definitely meet Josie Quinn!’ It’s All About Books, 5 stars ‘Five she-knocked-it-out-of-the-ballpark stars!!! Another fantastic instalment to the Detective Josie Quinn Series… This book had it all - character development, mystery, suspense, drama… I was so enthralled… captivating, thought-provoking and well researched.’ Goodreads reviewer, 5 stars ‘So amazing... it was impossible to just put down… the way everything ties together is genius… you won't be disappointed.’ Goodreads reviewer, 5 stars ‘Hooked me from the first page… tight, fast-paced, perfectly paced, well-researched, highly explosive, and always leaves you turning 'just one more page’… a wild ride... a five star read from beginning to end!’ Katie Mettner, 5 stars ‘Get ready for a rollercoaster of a ride… A resounding 5 stars!!! Josie Quinn, I want you on my side always!!! The pages fly by… a spellbinding eerie read. Love it!!’ Goodreads reviewer, 5 stars ‘This whole series is AMAZING! This book was exceptional… GREAT! I have read every single one of these books in less than two days. Riveting and thrilling! Please never stop writing! Ever!’ Goodreads reviewer, 5 stars",424.0,Fiction,5.0,1,en,http://books.google.com/books?id=frXLDwAAQBAJ&printsec=frontcover&dq=mystery+thriller&hl=&cd=204&source=gbs_api,https://play.google.com/store/books/details?id=frXLDwAAQBAJ&source=gbs_api,9781838882297.0,1838882294,4.99,USD,True,mystery thriller,http://books.google.com/books/content?id=frXLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2020
n5imDwAAQBAJ,Taken to the Grave,A completely unputdownable mystery thriller,M.M. Chouinard,Bookouture,2019-09-19,"“My head is spinning. I couldn’t figure out who was out for revenge!! My eBook froze as I quickly tried to turn the pages!! Could not put it down!!… Don’t want to give anything away but don’t miss this book!!!” Goodreads Reviewer ⭐⭐⭐⭐⭐ It’s a sleepy morning in the leafy town of Oakhurst when Jo finds Britney’s body on a running trail. She stares into the girl’s blue eyes as she gently lifts her off the ground—and finds a tarot card… A few days ago, Detective Jo Fournier stood in the middle of the local college, looking at a truly horrifying scene: a well-respected staff member murdered in his office. And it was there that Jo met Britney—a smart and pretty student in the same department who was utterly distraught about the killing. One thought is now racing through Jo’s mind: who would want to kill them both? When another body turns up inside a cabin in the woods, Jo is the only person who can see the link between the murders—the killer left a tarot card with all three bodies. She desperately wants to stop the killing before anyone else dies. Jo knows how it feels to lose someone you love. Her failure to protect her fiancé on the night he was murdered has always haunted her. As the body count rises, no one else will take Jo’s theory seriously. She’s absolutely sure that the cards are the clue that will break this entire case wide open and lead them to the person who has stolen so many innocent lives. But she’s out on her own—can Jo track down the dangerous killer or will they find her first? From USA Today bestseller M.M. Chouinard, Taken to the Grave is a completely addictive detective thriller that will keep you guessing into the early hours of the morning. If you love Kendra Elliot, Melinda Leigh and Lisa Regan, you’ll be utterly gripped! Everyone is utterly addicted to Taken to the Grave: “Keeping you enthralled and on the edge of your seat till the final page… Like a pressure cooker that keeps building up as you wait for the explosion!… Chock full of mystery and suspense, with twists and turns at every corner… A reveal that will knock your socks off.” Once Upon A Time Book Blog ⭐⭐⭐⭐⭐ “OMG what a great lead character… I DID NOT FIGURE OUT THE TRUE BAD GUY UNTIL THE END!” NetGalley Reviewer ⭐⭐⭐⭐⭐ “Amazing… Gripping and suspenseful… Five stars from me. Jo Fournier is one of the greatest characters ever written.” NetGalley Reviewer ⭐⭐⭐⭐⭐ “If you haven’t already added this to your series lists, DO IT NOW… Highly recommend it, it’s full of twists and turns, red herrings, you will be left guessing, everything you want in a book.” Goodreads Reviewer ⭐⭐⭐⭐⭐ “I could not stop turning the pages of this book… I wasn’t able to figure out who the killer was.” Fireflies and Free Kicks Book Reviews ⭐⭐⭐⭐⭐ “A gripping and intense thriller… Fast-paced and will keep you up well into the evening.” Sinfully Wicked Book Reviews ⭐⭐⭐⭐⭐",343.0,Fiction,5.0,1,en,http://books.google.com/books?id=n5imDwAAQBAJ&printsec=frontcover&dq=mystery+thriller&hl=&cd=245&source=gbs_api,https://play.google.com/store/books/details?id=n5imDwAAQBAJ&source=gbs_api,9781786818256.0,1786818256,2.99,USD,True,mystery thriller,http://books.google.com/books/content?id=n5imDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2019
j3tGEAAAQBAJ,The Hidden Child,A completely unputdownable mystery thriller inspired by a true crime,Rebecca Griffiths,Bookouture,2022-02-24,"Connie splashed through puddles, the rain slapping her face. Everywhere was tarmac and concrete, fog and drizzle, but no sign of her child. ‘Have you seen my daughter? Please, you must’ve seen her?’ Connie’s face crumpled, preparing to cry. But there wasn’t time for tears, she told herself, she had to find her child. Manchester, England, 1965: In an instant Connie’s life has changed. She only left her daughter Kathy alone for a moment but that was enough for her to vanish without a trace. As Connie desperately searches for her, she has to put the news reports of other missing children to the back of her mind. She is determined to find her safe. She will bring her daughter home. As local farmer Ronald listens to the news, he is shocked by what he hears. He has spent his life away from the spotlight, quietly tending to his farm. But when a young couple begin acting suspiciously on his land, he knows that trouble is about to reach his door. And then he sees her. A girl in a bright red coat who looks completely lost. Ronald knows he needs to help keep her safe and find her family. But on the wild and desolate farmland, Ronald has buried his own dark secret. Can he risk it coming to light to save her life? Inspired by a real-life true crime story, this is an unforgettable and totally gripping mystery thriller perfect for fans of Gregg Olsen, Elly Griffiths and Found. What readers are saying about The Hidden Child: ‘OMG WHAT A READ!!!! I literally devoured this book in one sitting. Emotional, heart-breaking… This book had me reading late into the night… I loved everything about this book.’ Netgalley reviewer, ⭐⭐⭐⭐⭐ ‘I loved this book; I was completely gripped right from the start and I couldn’t put it down until I had finished. The storyline is so electric and unpredictable that I was completely blown away by the plot twists and I sat on the edge of the seat.’ Goodreads reviewer, ⭐⭐⭐⭐⭐ ‘Wow. This novel blows any thriller I’ve read in recent times right out of the water… I genuinely can’t express enough how much I enjoyed this book.’ Goodreads reviewer, ⭐⭐⭐⭐⭐ ‘I loved this twist on the true crime thriller with a fictional storyline woven around real-life criminals… unputdownable… will stay with me for a very long time. Highly recommended!’ Mychestnutreadingtree, ⭐⭐⭐⭐⭐ ‘This author has gained a forever reader with me! Because she is damn good at what she does and that's making me glued to my Kindle and forgetting about life! The story grips you from the start and keeps you hanging on till the end.’ Netgalley reviewer ‘There were several times I found myself heartbroken, near tears, and anxious and then with only a turn of the page I’d find myself ranting and raving. To say this pulled me into the story and kept me engaged doesn’t give the full effect this story had on me… Loved this book!’ Goodreads reviewer, ⭐⭐⭐⭐⭐",357.0,Fiction,5.0,3,en,http://books.google.com/books?id=j3tGEAAAQBAJ&printsec=frontcover&dq=mystery+thriller&hl=&cd=256&source=gbs_api,https://play.google.com/store/books/details?id=j3tGEAAAQBAJ&source=gbs_api,9781800198937.0,1800198930,3.99,USD,True,mystery thriller,http://books.google.com/books/content?id=j3tGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2022
QWBPAQAAQBAJ,Encyclopedia of Great Popular Song Recordings,Volumes 1 and 2,Steve Sullivan,Bloomsbury Publishing PLC,2013-10-04,"From John Philip Sousa to Green Day, from Scott Joplin to Kanye West, from Stephen Foster to Coldplay, The Encyclopedia of Great Popular Song Recordings, Volumes 1 and 2 covers the vast scope of its subject with virtually unprecedented breadth and depth. Approximately 1,000 key song recordings from 1889 to the present are explored in full, unveiling the stories behind the songs, the recordings, the performers, and the songwriters. Beginning the journey in the era of Victorian parlor balladry, brass bands, and ragtime with the advent of the record industry, readers witness the birth of the blues and the dawn of jazz in the 1910s and the emergence of country music on record and the shift from acoustic to electrical recording in the 1920s. The odyssey continues through the Swing Era of the 1930s; rhythm & blues, bluegrass, and bebop in the 1940s; the rock & roll revolution of the 1950s; modern soul, the British invasion, and the folk-rock movement of the 1960s; and finally into the modern era through the musical streams of disco, punk, grunge, hip-hop, and contemporary dance-pop. Sullivan, however, also takes critical detours by extending the coverage to genres neglected in pop music histories, from ethnic and world music, the gospel recording of both black and white artists, and lesser-known traditional folk tunes that reach back hundreds of years. This book is ideal for anyone who truly loves popular music in all of its glorious variety, and anyone wishing to learn more about the roots of virtually all the music we hear today. Popular music fans, as well as scholars of recording history and technology and students of the intersections between music and cultural history will all find this book to be informative and interesting.",1027.0,Music,2.0,1,en,http://books.google.com/books?id=QWBPAQAAQBAJ&pg=PA984&dq=biography&hl=&cd=85&source=gbs_api,https://play.google.com/store/books/details?id=QWBPAQAAQBAJ&source=gbs_api,9780810882966.0,0810882965,230.5,USD,True,biography,http://books.google.com/books/content?id=QWBPAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2013
vcVKAQAAQBAJ,Doing Data Science,Straight Talk from the Frontline,"Cathy O'Neil, Rachel Schutt","""O'Reilly Media, Inc.""",2013-10-09,"Now that people are aware that data can make the difference in an election or a business model, data science as an occupation is gaining ground. But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know. In many of these chapter-long lectures, data scientists from companies such as Google, Microsoft, and eBay share new algorithms, methods, and models by presenting case studies and the code they use. If you’re familiar with linear algebra, probability, and statistics, and have programming experience, this book is an ideal introduction to data science. Topics include: Statistical inference, exploratory data analysis, and the data science process Algorithms Spam filters, Naive Bayes, and data wrangling Logistic regression Financial modeling Recommendation engines and causality Data visualization Social networks and data journalism Data engineering, MapReduce, Pregel, and Hadoop Doing Data Science is collaboration between course instructor Rachel Schutt, Senior VP of Data Science at News Corp, and data science consultant Cathy O’Neil, a senior data scientist at Johnson Research Labs, who attended and blogged about the course.",320.0,Computers,4.0,1,en,http://books.google.com/books?id=vcVKAQAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=vcVKAQAAQBAJ&source=gbs_api,9781449363895.0,144936389X,38.99,USD,True,data science,http://books.google.com/books/content?id=vcVKAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2013
XhKSDwAAQBAJ,Data Science from Scratch,First Principles with Python,Joel Grus,"""O'Reilly Media, Inc.""",2019-04-12,"Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch. If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.",387.0,Computers,5.0,1,en,http://books.google.com/books?id=XhKSDwAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=XhKSDwAAQBAJ&source=gbs_api,9781492041085.0,1492041084,50.99,USD,True,data science,http://books.google.com/books/content?id=XhKSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2019
axruBQAAQBAJ,Data Science and Big Data Analytics,"Discovering, Analyzing, Visualizing and Presenting Data",EMC Education Services,John Wiley & Sons,2014-12-19,"Data Science and Big Data Analytics is about harnessing the power of data for new insights. The book covers the breadth of activities and methods and tools that Data Scientists use. The content focuses on concepts, principles and practical applications that are applicable to any industry and technology environment, and the learning is supported and explained with examples that you can replicate using open-source software. This book will help you: Become a contributor on a data science team Deploy a structured lifecycle approach to data analytics problems Apply appropriate analytic techniques and tools to analyzing big data Learn how to tell a compelling story with data to drive business action Prepare for EMC Proven Professional Data Science Certification Get started discovering, analyzing, visualizing, and presenting data in a meaningful way today!",432.0,Computers,4.0,1,en,http://books.google.com/books?id=axruBQAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=16&source=gbs_api,https://play.google.com/store/books/details?id=axruBQAAQBAJ&source=gbs_api,9781118876220.0,1118876229,50.0,USD,True,data science,http://books.google.com/books/content?id=axruBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2014
AyOJDwAAQBAJ,Hands-On Unsupervised Learning Using Python,How to Build Applied Machine Learning Solutions from Unlabeled Data,Ankur A. Patel,"""O'Reilly Media, Inc.""",2019-02-21,"Many industry experts consider unsupervised learning the next frontier in artificial intelligence, one that may hold the key to general artificial intelligence. Since the majority of the world's data is unlabeled, conventional supervised learning cannot be applied. Unsupervised learning, on the other hand, can be applied to unlabeled datasets to discover meaningful patterns buried deep in the data, patterns that may be near impossible for humans to uncover. Author Ankur Patel shows you how to apply unsupervised learning using two simple, production-ready Python frameworks: Scikit-learn and TensorFlow using Keras. With code and hands-on examples, data scientists will identify difficult-to-find patterns in data and gain deeper business insight, detect anomalies, perform automatic feature engineering and selection, and generate synthetic datasets. All you need is programming and some machine learning experience to get started. Compare the strengths and weaknesses of the different machine learning approaches: supervised, unsupervised, and reinforcement learning Set up and manage machine learning projects end-to-end Build an anomaly detection system to catch credit card fraud Clusters users into distinct and homogeneous groups Perform semisupervised learning Develop movie recommender systems using restricted Boltzmann machines Generate synthetic images using generative adversarial networks",309.0,Computers,2.0,1,en,http://books.google.com/books?id=AyOJDwAAQBAJ&printsec=frontcover&dq=machine+learning&hl=&cd=92&source=gbs_api,https://play.google.com/store/books/details?id=AyOJDwAAQBAJ&source=gbs_api,9781492035596.0,1492035599,67.99,USD,True,machine learning,http://books.google.com/books/content?id=AyOJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2019
2VY6Bbqd0F8C,Machine Learning for Hackers,Case Studies and Algorithms to Get You Started,"Drew Conway, John Myles White","""O'Reilly Media, Inc.""",2012-02-13,"If you’re an experienced programmer interested in crunching data, this book will get you started with machine learning—a toolkit of algorithms that enables computers to train themselves to automate useful tasks. Authors Drew Conway and John Myles White help you understand machine learning and statistics tools through a series of hands-on case studies, instead of a traditional math-heavy presentation. Each chapter focuses on a specific problem in machine learning, such as classification, prediction, optimization, and recommendation. Using the R programming language, you’ll learn how to analyze sample datasets and write simple machine learning algorithms. Machine Learning for Hackers is ideal for programmers from any background, including business, government, and academic research. Develop a naïve Bayesian classifier to determine if an email is spam, based only on its text Use linear regression to predict the number of page views for the top 1,000 websites Learn optimization techniques by attempting to break a simple letter cipher Compare and contrast U.S. Senators statistically, based on their voting records Build a “whom to follow” recommendation system from Twitter data",323.0,Computers,4.5,7,en,http://books.google.com/books?id=2VY6Bbqd0F8C&printsec=frontcover&dq=machine+learning&hl=&cd=176&source=gbs_api,https://play.google.com/store/books/details?id=2VY6Bbqd0F8C&source=gbs_api,9781449330538.0,1449330533,42.99,USD,True,machine learning,http://books.google.com/books/content?id=2VY6Bbqd0F8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2012
